cap,void_id,ra,dec,dist,reff,reff_uncert,edge
NGC,0,192.0918608937389,-7.617182432036659,644.368280152735,30.443836743446926,0.10821768431669937,1
NGC,1,237.73575505720598,8.120078953889438,424.2151991511521,31.68724203064072,0.113752207565349,1
NGC,2,256.47295103438404,14.213058577945015,621.4855316256112,30.082789582899014,0.10794905119268343,1
NGC,3,250.32849317150055,4.423619087144855,548.0532403923245,30.87736939437262,0.11033355319377376,0
NGC,4,172.33831693615068,-6.864174636878777,365.8476336244625,26.426387593943087,0.10374968893799101,1
NGC,5,260.6843388240293,16.056622568347397,208.62924657111157,27.292562797132145,0.09608578620654233,1
NGC,6,253.02800097715763,12.188748097133837,610.8623802508253,27.951604626318456,0.09680184075401826,1
NGC,7,139.62725624411934,-4.548190889446627,635.1376194183723,28.59635344137154,0.11380479987037885,0
NGC,8,129.29183871935052,-4.22855716079796,332.5179122715939,27.564030075046507,0.10092314199068297,1
NGC,9,134.9238926392335,-0.675531578638378,410.4452327185259,28.10868665040596,0.09937686828102815,0
NGC,10,188.00739269457517,-3.7590721857204996,611.4116525838563,27.802663374573413,0.10691891790745803,1
NGC,11,156.6171254292559,2.8739067734166444,661.3585420148008,28.177239219562743,0.10632702459792129,1
NGC,12,230.32901548569822,-0.7465979177217498,520.2784529481995,27.99361093354149,0.1007760410195966,1
NGC,13,122.34967529734243,7.3504078182500505,592.8415722454938,25.75695860008336,0.0814042397337691,1
NGC,14,268.35814673323483,35.3428937019597,625.331270384022,27.61055922387592,0.10280360848519118,1
NGC,15,96.37483227658895,67.0805887337853,508.548124301128,27.041340335996566,0.097465491972321,1
NGC,16,218.76083786973123,34.14870547696995,321.30154902472333,27.04217146543153,0.10304471292227235,1
NGC,17,229.6628308179238,32.34353787248892,537.1984875396045,25.317152698712245,0.0887210051019328,1
NGC,18,132.04879495851844,-7.32919692587522,609.1714446774934,24.366894721248308,0.08796746261950357,1
NGC,19,263.7582179670077,27.620513052831935,600.1488921187831,24.72194546713606,0.09152829319916568,1
NGC,20,202.75522081614923,4.413361750370371,440.46411245754837,25.580165211787854,0.09701860333910924,1
NGC,21,128.84156148266268,-0.34752008627456277,640.4507947215279,27.007658328039,0.09387063794014362,0
NGC,22,204.17671245269415,50.07021634737722,607.1177374323609,25.599290299792486,0.09648149282877029,1
NGC,23,116.41150902696549,27.638427622307763,506.57944967326637,27.21623482391785,0.10005281096257408,1
NGC,24,223.84181445973888,-3.1048006620462805,663.3045685040872,23.432622752432334,0.09216647918275597,1
NGC,25,160.53283112752433,-8.920919160517753,487.1438100088759,25.50678420809289,0.09052257188905286,1
NGC,26,241.2848587370167,10.275513717062758,333.0762099610688,25.651491377647638,0.09039888356158801,1
NGC,27,220.64156619422144,36.39009591621516,650.1656451513747,26.608403223937703,0.09750286874614658,1
NGC,28,248.55532463916262,7.208579154048898,591.8810779599385,26.619061207623766,0.09995910628799606,0
NGC,29,259.35963061785986,11.859551812702614,307.40877009394114,25.815843488539862,0.09851209379876376,1
NGC,30,166.09630576091152,3.84256617758687,647.9546560837256,23.398180012120292,0.08413103883014975,1
NGC,31,168.34527189626192,-2.720946382918075,505.2828488061501,26.64574251883529,0.09494529836824131,2
NGC,32,115.20244264145069,27.13344335124678,592.3165400755884,26.56102816987447,0.09285636514246784,1
NGC,33,231.39898516401092,-1.3448584818384928,601.8264093805433,25.722104999792247,0.10020050419348332,1
NGC,34,120.76805488593064,9.349309019104764,531.348933206115,24.213101966145977,0.08646809979702162,1
NGC,35,211.03647070321136,47.020827506407144,550.073525985192,25.06516465684967,0.09400948621026665,1
NGC,36,201.54791668897994,-0.6611688195858045,362.96801821291274,26.204672862628435,0.09914503412537827,0
NGC,37,190.49064697670173,-2.4032086514181534,571.1291003958524,25.38027195410189,0.09427023453375492,1
NGC,38,164.11197962999844,3.2008296336685316,584.6431759199417,24.061193744700365,0.09254947774370781,1
NGC,39,143.9115486673909,-6.237784193597881,319.0521331430173,23.755482167615593,0.07934346912693309,1
