Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,
79,183,242,-1,-1,84,58,-1,56,111,25,68,61,59,90,64,220,165,-1,214,
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,6,-1,18,23,56,38,19,
81,-1,-1,268,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
82,53,57,53,73,67,55,145,78,87,88,20,47,45,23,50,46,64,35,29,
83,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,-1,-1,321,-1,139,-1,-1,-1,-1,
85,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,309,-1,-1,-1,-1,-1,-1,-1,
87,127,-1,-1,-1,-1,-1,-1,-1,-1,146,233,307,-1,-1,-1,-1,-1,-1,-1,
88,409,639,628,782,-1,524,318,-1,-1,-1,-1,-1,-1,466,-1,139,-1,-1,262,
89,-1,-1,-1,-1,-1,-1,-1,83,104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
90,52,48,77,96,78,40,77,97,127,114,52,88,82,98,96,44,80,62,61,
91,-1,301,-1,-1,100,-1,-1,129,-1,-1,-1,21,-1,-1,-1,-1,39,116,211,
92,22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,165,-1,-1,-1,-1,
94,254,153,79,-1,40,-1,79,106,61,-1,-1,273,-1,184,55,134,-1,-1,-1,
95,-1,-1,-1,-1,-1,-1,290,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
97,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,219,
98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,312,-1,-1,-1,-1,-1,-1,
99,-1,-1,-1,-1,-1,-1,-1,-1,-1,73,309,-1,54,-1,-1,-1,-1,-1,-1,
100,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
101,90,116,179,88,115,-1,316,171,154,182,154,138,-1,128,-1,364,394,137,226,
102,-1,505,345,388,-1,-1,-1,-1,-1,-1,-1,-1,-1,248,300,312,-1,-1,-1,
103,314,-1,-1,122,-1,-1,-1,334,-1,-1,-1,-1,-1,-1,-1,-1,141,-1,-1,
104,119,82,58,62,74,215,191,-1,-1,-1,-1,-1,-1,-1,-1,-1,302,128,119,
106,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
107,-1,160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
109,181,-1,-1,-1,-1,248,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,13,2,5,1,4,2,2,1,1,11,5,1,1,-1,2,4,-1,-1,-1,
111,-1,-1,-1,-1,-1,-1,-1,-1,-1,221,-1,-1,-1,-1,-1,-1,-1,-1,-1,
112,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,274,400,-1,-1,-1,-1,279,163,
113,-1,168,-1,-1,-1,-1,338,-1,-1,-1,357,-1,-1,-1,-1,-1,-1,446,271,
115,86,-1,-1,164,292,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
116,44,286,-1,-1,-1,-1,-1,-1,-1,118,-1,-1,-1,-1,-1,-1,-1,-1,-1,
119,-1,-1,-1,-1,158,-1,-1,-1,68,-1,-1,-1,-1,-1,-1,-1,217,50,-1,
120,-1,41,123,43,-1,212,-1,-1,-1,-1,122,238,105,-1,-1,-1,-1,-1,-1,
121,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,16,-1,-1,-1,-1,-1,73,-1,-1,
122,78,178,94,-1,-1,266,43,115,141,49,63,161,241,382,218,144,179,138,154,
123,-1,81,135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
125,-1,-1,549,303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
129,70,229,184,155,345,88,-1,-1,-1,-1,-1,-1,-1,261,-1,-1,-1,-1,-1,
130,-1,-1,-1,-1,303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
132,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,77,
134,-1,720,200,301,650,147,358,404,687,220,158,321,215,380,934,673,368,-1,768,
135,200,139,-1,-1,290,595,-1,398,303,-1,-1,-1,-1,-1,102,297,501,486,-1,
136,88,201,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,196,35,
137,102,-1,-1,-1,-1,-1,157,-1,78,145,230,194,-1,341,233,184,196,-1,-1,
138,-1,-1,302,451,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,503,-1,-1,
139,-1,209,-1,-1,-1,-1,436,465,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,93,-1,-1,170,477,176,247,299,-1,189,105,-1,111,148,179,135,172,288,129,
141,-1,-1,-1,-1,-1,-1,463,-1,-1,-1,-1,-1,-1,-1,-1,-1,276,223,252,
143,220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
144,48,-1,-1,-1,-1,-1,404,274,-1,-1,-1,-1,-1,-1,-1,365,67,-1,-1,
145,353,306,765,236,196,194,405,277,182,-1,372,150,-1,752,324,-1,292,451,327,
146,-1,72,-1,-1,-1,36,39,87,119,48,26,96,87,113,44,-1,66,-1,-1,
147,299,-1,-1,247,271,177,282,236,160,-1,-1,-1,-1,-1,-1,145,187,369,161,
148,-1,-1,-1,272,118,-1,-1,365,-1,124,151,112,48,185,29,-1,-1,-1,-1,
151,-1,150,501,271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,334,-1,-1,-1,
