Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,
-1,-1,1818,1551,-1,-1,2632,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1428,-1,
-1,-1,1822,-1,-1,-1,-1,-1,-1,846,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1824,-1,931,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1836,-1,-1,-1,-1,-1,-1,-1,-1,-1,2418,1871,-1,-1,-1,-1,-1,-1,
-1,-1,1837,-1,-1,-1,-1,-1,-1,1232,-1,-1,532,866,787,-1,-1,-1,-1,-1,
-1,-1,1840,1595,2132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1841,-1,-1,1850,-1,-1,-1,-1,1724,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1851,-1,-1,-1,1848,653,-1,-1,-1,-1,1171,-1,634,-1,984,-1,-1,-1,
-1,-1,1860,-1,2354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,693,972,641,
-1,-1,1869,-1,744,811,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,971,
-1,-1,1871,-1,-1,2576,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1876,-1,-1,-1,-1,-1,-1,-1,-1,-1,1225,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1877,1696,1447,1591,1817,-1,-1,1354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1878,-1,-1,2427,-1,-1,-1,2828,-1,-1,2650,-1,1779,1783,-1,-1,-1,-1,
-1,-1,1882,1024,714,790,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1886,-1,-1,-1,-1,-1,2231,2151,-1,1216,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1889,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2865,-1,-1,
-1,-1,1901,1322,1539,659,-1,1083,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1909,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2375,-1,-1,-1,
-1,-1,1911,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,879,-1,
-1,-1,1917,-1,-1,-1,2738,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1919,-1,2301,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1920,-1,-1,2725,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1926,2643,2104,2104,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1928,1464,978,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1932,783,1423,2434,1891,2129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1933,-1,2047,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1941,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1836,-1,-1,-1,
-1,-1,1946,-1,-1,-1,-1,-1,-1,-1,816,1141,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1947,-1,988,-1,1313,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1948,-1,-1,-1,-1,-1,-1,1900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1949,1930,-1,-1,-1,-1,2039,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1955,2540,2444,2062,1508,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1956,-1,-1,1315,1858,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1960,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2657,-1,-1,
-1,-1,1965,2223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1967,1459,1728,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1971,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1186,-1,-1,-1,-1,-1,-1,
-1,-1,1973,-1,-1,-1,-1,-1,-1,-1,-1,-1,2556,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1978,-1,-1,-1,-1,-1,-1,-1,-1,2576,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,1980,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1792,1569,-1,-1,
-1,-1,1985,1245,2113,-1,-1,-1,-1,-1,-1,-1,-1,-1,2474,-1,-1,-1,-1,-1,
-1,-1,1986,-1,-1,-1,-1,1247,810,1591,2931,-1,1751,1676,-1,2849,-1,-1,-1,1559,
-1,-1,1989,2749,1648,1881,-1,2362,1749,2324,1509,1574,1439,1320,1295,1853,1893,-1,1872,2605,
-1,-1,1990,602,-1,-1,-1,-1,-1,-1,-1,-1,-1,1362,-1,1345,1230,1412,-1,-1,
-1,-1,1991,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2066,-1,-1,-1,-1,-1,-1,
-1,-1,2000,-1,1214,-1,-1,-1,-1,-1,-1,-1,-1,-1,1201,-1,-1,-1,-1,-1,
-1,-1,2001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1089,-1,-1,-1,-1,-1,
-1,-1,2002,-1,-1,-1,1201,1348,1960,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2005,-1,-1,1019,-1,1078,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2016,2284,2287,2115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2018,2412,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2020,-1,-1,-1,1228,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2023,-1,-1,-1,1129,835,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2024,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1623,-1,-1,-1,-1,
-1,-1,2027,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,924,1964,-1,-1,-1,
-1,-1,2033,-1,-1,-1,1008,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2046,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2786,-1,
-1,-1,2047,1017,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2056,1381,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2057,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2353,-1,-1,
-1,-1,2062,-1,-1,948,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2063,1693,2468,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2068,2137,882,-1,-1,-1,-1,-1,-1,-1,-1,-1,1145,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,2283,-1,-1,-1,-1,-1,1960,947,1954,2408,1299,-1,2462,1387,980,
-1,-1,2093,2703,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2099,-1,-1,-1,-1,-1,1745,1321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2105,896,1419,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2225,-1,
-1,-1,2107,684,1012,-1,-1,-1,-1,1837,952,2553,-1,1928,-1,-1,-1,-1,-1,-1,
-1,-1,2112,1655,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2114,1596,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2117,2158,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2052,1161,-1,-1,-1,-1,
-1,-1,2123,1086,2505,2898,2651,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2134,1554,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2135,-1,2907,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2140,2725,2330,1075,-1,2092,2297,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1909,
-1,-1,2141,705,1371,1026,1268,2782,-1,2877,1894,2679,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2145,-1,-1,-1,-1,2836,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2150,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2233,
-1,-1,2152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1309,-1,-1,-1,-1,-1,-1,
-1,-1,2155,-1,-1,1330,2335,-1,-1,-1,-1,-1,1615,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2162,-1,-1,-1,2533,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2164,-1,-1,-1,-1,1807,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2172,1883,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2179,2113,-1,-1,-1,-1,-1,-1,1077,1621,-1,-1,-1,-1,-1,-1,-1,-1,
2504,-1,2181,1989,906,1473,-1,-1,-1,-1,-1,-1,-1,-1,817,-1,-1,-1,-1,-1,
-1,-1,2184,-1,-1,-1,-1,-1,-1,-1,2034,2900,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,-1,-1,1345,813,1232,929,2300,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2192,2757,1679,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2349,2907,-1,-1,
-1,-1,2193,-1,-1,2914,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2194,1393,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2198,2636,1833,-1,-1,2329,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2207,-1,-1,-1,2179,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2209,2694,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2214,-1,-1,-1,-1,-1,-1,1188,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2216,1387,2005,-1,-1,-1,-1,-1,2265,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2220,2226,1183,1730,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2221,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,910,-1,-1,-1,-1,-1,-1,
-1,-1,2222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2511,-1,-1,-1,
-1,-1,2226,-1,2545,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2227,-1,-1,-1,-1,-1,-1,-1,-1,2486,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2228,-1,-1,2305,-1,-1,-1,2515,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2232,-1,2223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2233,-1,-1,-1,2544,-1,1323,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2236,1811,-1,858,1378,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2617,-1,-1,-1,
-1,-1,2239,1109,-1,1450,-1,-1,-1,-1,-1,-1,-1,-1,-1,1409,-1,-1,-1,-1,
-1,-1,2241,1405,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1427,1918,2888,-1,-1,-1,
-1,-1,2245,949,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2247,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2085,-1,-1,-1,-1,-1,-1,
-1,-1,2248,-1,-1,1071,1243,-1,2566,-1,-1,-1,1037,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2250,-1,2180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2252,-1,-1,-1,-1,-1,-1,-1,2079,-1,1958,1692,2497,1548,1162,-1,-1,-1,
-1,-1,2263,-1,1361,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
981,-1,2271,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2276,-1,1349,2055,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2279,2664,-1,-1,-1,-1,-1,1534,1620,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2008,-1,-1,-1,-1,
-1,-1,2283,-1,2776,-1,-1,-1,-1,2350,-1,-1,-1,-1,-1,2038,-1,-1,-1,-1,
-1,-1,2284,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1567,-1,-1,-1,-1,
-1,-1,2285,1650,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2286,-1,-1,-1,-1,1226,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2288,-1,1492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2290,1143,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2295,-1,1512,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2300,-1,-1,-1,-1,997,-1,-1,-1,-1,-1,-1,-1,1434,-1,-1,-1,-1,
-1,-1,2313,-1,2318,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2316,1772,2783,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,1618,1702,-1,-1,-1,-1,-1,2658,2700,-1,-1,-1,-1,1248,-1,-1,-1,
-1,-1,2322,-1,-1,1645,-1,-1,-1,-1,2139,-1,1012,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2329,-1,-1,-1,2960,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2331,1011,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2339,-1,-1,-1,2323,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2346,-1,2207,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,-1,537,716,-1,-1,-1,-1,-1,-1,1138,-1,-1,-1,621,-1,-1,1050,644,
-1,-1,2354,-1,728,1282,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1562,
-1,-1,2356,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2385,-1,-1,-1,-1,-1,-1,
-1,-1,2358,1035,960,-1,1890,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2361,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1160,-1,-1,
-1,-1,2368,2038,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2371,1286,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2373,-1,-1,-1,-1,-1,2218,-1,2427,-1,-1,-1,1962,-1,-1,2223,1157,-1,
-1,-1,2374,1321,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2378,-1,-1,-1,-1,-1,-1,-1,-1,2307,-1,2440,2388,-1,-1,-1,-1,-1,
-1,-1,2379,-1,1616,1619,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1397,-1,-1,
-1,-1,2381,-1,-1,-1,-1,2507,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2598,
-1,-1,2383,-1,-1,2559,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2385,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2380,1575,1683,-1,-1,
-1,-1,2386,-1,2303,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2395,-1,-1,-1,-1,-1,-1,-1,2722,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2399,-1,-1,-1,1969,-1,-1,-1,-1,-1,1840,-1,-1,1813,1377,2420,-1,1798,
-1,-1,2401,-1,-1,-1,-1,1590,1849,2319,-1,-1,-1,-1,-1,-1,-1,-1,-1,1819,
-1,-1,2402,-1,-1,-1,1533,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2403,2548,1554,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2410,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1592,-1,-1,-1,-1,
-1,-1,2414,2111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2415,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2317,-1,-1,-1,-1,
-1,-1,2423,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1763,-1,-1,-1,-1,
-1,-1,2429,-1,-1,1320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2329,-1,-1,
-1,-1,2432,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1937,-1,-1,-1,-1,-1,-1,
-1,-1,2439,-1,-1,-1,-1,-1,2069,-1,-1,-1,-1,-1,-1,-1,2392,-1,-1,-1,
-1,-1,2446,-1,-1,1596,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2450,-1,-1,2313,-1,-1,-1,2163,1996,1874,1349,1958,-1,-1,-1,-1,-1,-1,
-1,-1,2456,-1,1478,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2459,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2442,-1,-1,
-1,-1,2462,-1,-1,1590,-1,-1,-1,-1,2623,2198,-1,-1,-1,1711,-1,-1,-1,-1,
-1,-1,2466,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1717,
-1,-1,2476,1599,2205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2499,-1,-1,2719,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2034,
-1,-1,2500,1427,1704,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2502,-1,-1,2202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2503,1584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2506,-1,2127,1855,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2508,-1,-1,-1,-1,-1,-1,2455,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2510,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2785,-1,-1,
-1,-1,2520,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1842,-1,-1,-1,-1,-1,
-1,-1,2522,-1,-1,1837,-1,-1,-1,-1,-1,-1,-1,-1,2863,2553,-1,-1,-1,-1,
-1,-1,2533,-1,2192,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2534,-1,2614,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2538,-1,948,1720,1080,2178,1525,-1,-1,-1,-1,-1,-1,2139,1456,-1,-1,-1,
-1,-1,2539,1840,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2544,2278,1904,1831,2420,2257,2050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2547,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1574,-1,-1,-1,
-1,-1,2551,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2941,2937,-1,
-1,-1,2555,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2868,-1,-1,
-1,-1,2565,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1952,-1,-1,-1,-1,-1,-1,
-1,-1,2568,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1305,
-1,-1,2569,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2072,-1,-1,-1,-1,
-1,-1,2572,1825,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2573,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1417,-1,-1,
-1,-1,2582,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1747,-1,-1,
-1,-1,2584,-1,1199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2588,2323,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2590,2114,1710,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2592,2779,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2593,1202,1056,1451,2041,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2561,-1,-1,
-1,-1,2603,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1500,-1,-1,-1,-1,-1,
-1,-1,2608,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2641,-1,-1,-1,
-1,-1,2614,2279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2617,-1,-1,-1,-1,-1,-1,-1,-1,1301,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2622,1206,-1,-1,-1,-1,-1,-1,1291,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2623,1866,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2627,-1,-1,2401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2630,-1,-1,2381,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2636,1533,-1,-1,2447,-1,-1,-1,-1,-1,-1,-1,-1,1280,1057,-1,-1,-1,
-1,1240,2637,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2639,2778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2642,-1,-1,1930,2839,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2643,-1,1882,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2650,-1,-1,-1,-1,-1,-1,-1,2563,-1,2800,-1,-1,-1,2125,-1,-1,-1,
-1,-1,2655,-1,2788,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2665,2506,-1,-1,-1,-1,-1,-1,-1,1829,2477,1734,-1,-1,-1,-1,-1,-1,
-1,-1,2675,1926,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2678,2798,-1,-1,-1,-1,2029,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2683,-1,-1,-1,2198,2318,-1,-1,1447,1487,-1,-1,-1,-1,-1,-1,-1,2630,
-1,-1,2685,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2610,-1,-1,-1,-1,
-1,-1,2689,-1,2531,1661,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2690,-1,-1,-1,-1,-1,1763,-1,-1,-1,-1,1400,-1,-1,-1,-1,-1,-1,
-1,-1,2694,-1,-1,2238,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2696,1562,2363,1709,-1,-1,-1,-1,-1,-1,-1,-1,-1,2347,-1,-1,-1,-1,
-1,-1,2700,-1,-1,2715,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2714,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2198,
-1,-1,2718,-1,-1,-1,-1,-1,-1,2417,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2725,-1,-1,-1,1551,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2727,-1,2390,1328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2731,-1,-1,-1,-1,-1,1552,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2737,-1,-1,-1,-1,-1,-1,2477,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
-1,-1,2742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2806,-1,1426,-1,
