1.8778530700e+03,-3.1432779007e+02,-6.6168880538e+02,-4.5380555916e+02,-2.8776982155e+02,-1.3230184194e+02,-7.6041641415e+01,-4.4256820155e+01,-1.5387648823e+01,-1.4765127592e+00,2.1187478201e+01,2.0623732730e+01,1.7768780571e+01,1.7966328616e+00,1.1369939732e+01,2.7754402645e+01,1.2247465365e+01,8.8657956165e-01,4.6778105549e+00,-8.2768314793e+00,7.5929699181e+00,9.7709315739e-01
-3.1432779007e+02,3.0123554760e+03,-2.6988328981e+02,-1.1225669972e+03,-4.2027418663e+02,-3.5318935759e+02,-2.0183498358e+02,-8.0249741196e+01,-5.5722527225e+01,-6.4390422008e+01,-5.1482534277e+01,3.8786578946e+00,5.3105879771e-01,5.2895208946e+00,1.1863301551e+01,2.1524553833e+01,8.2217136857e+00,-6.3578534652e+00,6.9082807518e-02,-2.6239777868e+00,2.5890495828e+00,1.0076774336e+00
-6.6168880538e+02,-2.6988328981e+02,4.2962697076e+03,-5.7285523149e+02,-1.2176103933e+03,-5.0520048580e+02,-4.6284593572e+02,-2.1764608833e+02,-2.0451454314e+02,-1.6625232477e+02,-1.3186268663e+02,6.3852047991e+00,1.2611047333e+01,2.3065167125e+01,1.6431536825e+01,1.9952030462e+01,2.0688096739e+01,-1.0170268065e+01,2.5178655904e+00,2.1272717640e+00,-1.0163184360e+01,1.1999898230e+00
-4.5380555916e+02,-1.1225669972e+03,-5.7285523149e+02,5.5402778269e+03,-4.5122550107e+02,-1.3845207886e+03,-5.2083978659e+02,-3.5015507274e+02,-2.2596421422e+02,-1.4797531367e+02,-9.1499216947e+01,-9.7321484774e+01,-5.3510403405e+01,-2.2352207333e+01,-3.0531792689e+01,4.1759934560e+00,1.7853851152e+01,-8.3234590589e+00,-9.4643817210e+00,-4.4131201063e+00,4.5553162934e+00,2.8513629308e-01
-2.8776982155e+02,-4.2027418663e+02,-1.2176103933e+03,-4.5122550107e+02,5.6476302424e+03,-5.9607661866e+02,-1.1904328994e+03,-3.1473368387e+02,-3.2523292171e+02,-1.7880923765e+02,-1.5065444152e+02,-1.7874526926e+02,-1.1420333141e+02,-7.7983802997e+01,-5.8335952346e+01,-6.3155055820e+01,3.8708943317e+00,-4.4808724954e+00,-1.2738203293e+01,-2.6208298162e+00,-7.4127664421e+00,-1.1927549870e+00
-1.3230184194e+02,-3.5318935759e+02,-5.0520048580e+02,-1.3845207886e+03,-5.9607661866e+02,5.0815168382e+03,-5.1594443445e+01,-8.2758087345e+02,-3.1286230041e+02,-2.6219465474e+02,-1.5311202405e+02,-1.6516450866e+02,-9.2916342551e+01,-6.8456227266e+01,-5.7608890599e+01,-7.2551315070e+01,-6.7218679859e+00,-8.9255714580e+00,-1.2633660956e+01,1.3744444552e+00,-1.4961123824e+01,-1.5964052778e+00
-7.6041641415e+01,-2.0183498358e+02,-4.6284593572e+02,-5.2083978659e+02,-1.1904328994e+03,-5.1594443445e+01,4.3455080684e+03,-2.6217960980e+02,-5.3355201619e+02,-2.3613852291e+02,-2.7030807655e+02,-2.1590291282e+02,-1.0388107743e+02,-6.5030617108e+01,-7.5295129425e+01,-5.5339842357e+01,1.0572004695e+01,3.9304280876e+00,-1.0346857887e+01,1.1806047344e+01,-3.1913210347e+01,-2.1327665087e+00
-4.4256820155e+01,-8.0249741196e+01,-2.1764608833e+02,-3.5015507274e+02,-3.1473368387e+02,-8.2758087345e+02,-2.6217960980e+02,2.7381843447e+03,2.2699918067e+02,-3.7032466369e+02,-1.5453449510e+02,-1.4659894305e+02,-4.4274543736e+01,-4.4466909378e+01,-3.2291635559e+01,-3.3594467099e+01,-9.0356356497e+00,-1.5789920574e+01,-6.6520436699e+00,7.1762256301e+00,-1.3197855872e+01,-1.2683751795e+00
-1.5387648823e+01,-5.5722527225e+01,-2.0451454314e+02,-2.2596421422e+02,-3.2523292171e+02,-3.1286230041e+02,-5.3355201619e+02,2.2699918067e+02,2.2893511753e+03,-8.5478593177e+01,-3.3390380600e+02,-1.0591776771e+02,-7.9838852193e+01,-2.7201248061e+01,-2.3577424941e+01,-4.3290226048e+01,-5.8349295022e+01,-4.3075986607e+01,-1.4875669914e+01,1.7853563208e+00,-2.5616395802e+01,-2.2087716508e+00
-1.4765127592e+00,-6.4390422008e+01,-1.6625232477e+02,-1.4797531367e+02,-1.7880923765e+02,-2.6219465474e+02,-2.3613852291e+02,-3.7032466369e+02,-8.5478593177e+01,2.1548565227e+03,5.4978829976e+01,-3.0638840441e+02,-7.9891723047e+01,-3.2336747200e+01,-1.9868230041e+01,-8.2197696233e+01,-1.0157268179e+02,-4.1403586824e+01,-8.6168025511e+00,1.1986433592e+00,-2.4294860791e+01,-2.0962837341e+00
