8.6044441290e-03,7.8396482653e-03,8.2391048918e-03,8.0899883548e-03,8.1530709142e-03,8.1186645817e-03,8.1251748928e-03,8.1210315995e-03,8.1267808996e-03,8.1287036925e-03,8.1249178210e-03,8.1366273601e-03,8.1203058922e-03,8.1358080892e-03,8.1309493849e-03,8.1343046997e-03,8.1229330587e-03,8.1192861510e-03,8.0915574769e-03,8.1518786847e-03,8.1478172433e-03,8.1694602654e-03
7.8396482653e-03,7.8677171464e-03,7.9166027958e-03,7.8427608737e-03,7.8789468316e-03,7.8639699253e-03,7.8647765161e-03,7.8617405550e-03,7.8703571690e-03,7.8772036049e-03,7.8801002122e-03,7.8877373607e-03,7.8783321634e-03,7.8870788851e-03,7.8876691106e-03,7.8925558042e-03,7.8870572369e-03,7.8763589282e-03,7.8564592586e-03,7.8962401331e-03,7.8977661355e-03,7.9259035837e-03
8.2391048918e-03,7.9166027958e-03,8.5238603051e-03,8.1874872908e-03,8.2909617018e-03,8.2450769675e-03,8.2660446061e-03,8.2552082755e-03,8.2741701979e-03,8.2756755522e-03,8.2816218364e-03,8.2831192581e-03,8.2729756856e-03,8.2806410249e-03,8.2847309564e-03,8.2941944349e-03,8.2817182134e-03,8.2742039229e-03,8.2445326323e-03,8.2955701007e-03,8.3049714082e-03,8.3187607601e-03
8.0899883548e-03,7.8427608737e-03,8.1874872908e-03,8.2393232532e-03,8.1446010440e-03,8.1539677274e-03,8.1416821010e-03,8.1491554644e-03,8.1536642480e-03,8.1607557916e-03,8.1609075707e-03,8.1813687010e-03,8.1695860654e-03,8.1810234061e-03,8.1849414603e-03,8.1891481887e-03,8.1794363095e-03,8.1629706992e-03,8.1495595849e-03,8.1846096888e-03,8.1839718190e-03,8.2465105025e-03
8.1530709142e-03,7.8789468316e-03,8.2909617018e-03,8.1446010440e-03,8.3979945492e-03,8.2108414959e-03,8.2558328062e-03,8.2275269290e-03,8.2552579117e-03,8.2529506734e-03,8.2622417977e-03,8.2841748998e-03,8.2768492300e-03,8.2909866206e-03,8.2934157759e-03,8.3026493688e-03,8.2866466667e-03,8.2633158227e-03,8.2489124832e-03,8.2892137411e-03,8.2913130463e-03,8.3674622527e-03
8.1186645817e-03,7.8639699253e-03,8.2450769675e-03,8.1539677274e-03,8.2108414959e-03,8.3795786170e-03,8.1950760682e-03,8.2459230095e-03,8.2255248427e-03,8.2454910493e-03,8.2397913323e-03,8.2684900921e-03,8.2563047967e-03,8.2737807513e-03,8.2769484379e-03,8.2873732108e-03,8.2757023259e-03,8.2506110038e-03,8.2349578329e-03,8.2724834268e-03,8.2745607402e-03,8.3572818793e-03
8.1251748928e-03,7.8647765161e-03,8.2660446061e-03,8.1416821010e-03,8.2558328062e-03,8.1950760682e-03,8.4498106332e-03,8.2242351968e-03,8.2821211681e-03,8.2630946498e-03,8.2855628137e-03,8.3006135531e-03,8.2923849357e-03,8.3043497940e-03,8.3127100267e-03,8.3186368839e-03,8.3048299769e-03,8.2737468771e-03,8.2590531194e-03,8.3020275642e-03,8.3140198075e-03,8.3816584399e-03
8.1210315995e-03,7.8617405550e-03,8.2552082755e-03,8.1491554644e-03,8.2275269290e-03,8.2459230095e-03,8.2242351968e-03,8.5916494660e-03,8.1941995290e-03,8.3030666297e-03,8.2644366547e-03,8.3101283808e-03,8.2784454938e-03,8.3062957571e-03,8.3062596590e-03,8.3166407609e-03,8.3113135703e-03,8.2829472700e-03,8.2574984024e-03,8.2929558623e-03,8.3015102400e-03,8.3882522079e-03
8.1267808996e-03,7.8703571690e-03,8.2741701979e-03,8.1536642480e-03,8.2552579117e-03,8.2255248427e-03,8.2821211681e-03,8.1941995290e-03,8.7093339849e-03,8.2740043138e-03,8.3580465368e-03,8.3196216430e-03,8.3427457958e-03,8.3344129145e-03,8.3506396330e-03,8.3551128815e-03,8.4031373645e-03,8.3578731329e-03,8.3369138105e-03,8.3745266811e-03,8.3767253833e-03,8.4692555244e-03
8.1287036925e-03,7.8772036049e-03,8.2756755522e-03,8.1607557916e-03,8.2529506734e-03,8.2454910493e-03,8.2630946498e-03,8.3030666297e-03,8.2740043138e-03,8.7612692983e-03,8.2714800111e-03,8.4111473888e-03,8.3371590845e-03,8.3711874612e-03,8.3761971537e-03,8.3898833645e-03,8.4655482034e-03,8.3821056274e-03,8.3473273135e-03,8.3923083064e-03,8.3941654891e-03,8.4994606095e-03
