CID,IDSURVEY,zHD,RA_SN,DEC_SN,SRC_HEAD,HOST_RA,HOST_DEC
2006py,5,0.05653,340.425196,-0.136905,LOWZ,-999.0,-999.0
2006qo,64,0.02898,120.034880,56.368810,LOWZ,-999.0,-999.0
2006te,64,0.03290,122.929120,41.554670,LOWZ,-999.0,-999.0
2007O,64,0.03818,224.021580,45.404690,LOWZ,-999.0,-999.0
2007R,64,0.03174,116.656370,44.789470,LOWZ,-999.0,-999.0
2007ae,64,0.06533,255.466460,79.031830,LOWZ,-999.0,-999.0
2007bd,64,0.03120,127.888670,-1.199440,LOWZ,-999.0,-999.0
2007co,64,0.02731,275.765000,29.897110,LOWZ,-999.0,-999.0
2007cq,64,0.02510,333.668460,5.080250,LOWZ,-999.0,-999.0
2007hu,65,0.03551,254.124830,27.977890,LOWZ,-999.0,-999.0
2007is,65,0.02866,251.810790,40.243580,LOWZ,-999.0,-999.0
2007jg,5,0.03756,52.461727,0.056828,LOWZ,-999.0,-999.0
2007kk,65,0.04285,55.596920,39.241780,LOWZ,-999.0,-999.0
2007nq,65,0.04349,14.389870,-1.388610,LOWZ,-999.0,-999.0
2007ob,65,0.03243,348.108290,13.913690,LOWZ,-999.0,-999.0
2007sw,65,0.02517,183.403670,46.493360,LOWZ,-999.0,-999.0
2007ux,65,0.03264,152.333250,14.992440,LOWZ,-999.0,-999.0
2008050,65,0.04625,204.198290,5.141780,LOWZ,-999.0,-999.0
2008051,65,0.03873,229.995500,4.904640,LOWZ,-999.0,-999.0
2008ar,65,0.02849,186.158000,10.838170,LOWZ,-999.0,-999.0
2008bz,65,0.06099,189.740580,11.129500,LOWZ,-999.0,-999.0
2008cf,65,0.04682,211.885670,-26.551830,LOWZ,-999.0,-999.0
2008fr,65,0.03828,17.954750,14.640830,LOWZ,-999.0,-999.0
2008gb,65,0.03796,44.488040,46.865720,LOWZ,-999.0,-999.0
2008gl,65,0.03272,20.228420,4.805310,LOWZ,-999.0,-999.0
2008gp,5,0.03333,50.753040,1.361890,LOWZ,-999.0,-999.0
2008hj,65,0.03682,1.007960,-11.168750,LOWZ,-999.0,-999.0
2009ad,65,0.02844,75.889080,6.659920,LOWZ,-999.0,-999.0
2009bv,65,0.03848,196.835290,35.784390,LOWZ,-999.0,-999.0
2009do,65,0.04099,188.743120,50.851220,LOWZ,-999.0,-999.0
2010ag,66,0.03335,255.973460,31.501720,LOWZ,-999.0,-999.0
2010dt,66,0.05316,250.811170,32.675110,LOWZ,-999.0,-999.0
2010dw,66,0.03902,230.667960,-5.921080,LOWZ,-999.0,-999.0
2016afk,150,0.04738,155.624551,15.096610,Foundation,-999.0,-999.0
ASASSN-15bc,150,0.03753,61.560987,-8.885610,Foundation,-999.0,-999.0
ASASSN-15fa,150,0.02741,257.441766,62.974304,Foundation,-999.0,-999.0
ASASSN-15hg,150,0.03143,148.452399,9.193900,Foundation,-999.0,-999.0
ASASSN-15jl,150,0.03512,230.671101,50.976641,Foundation,-999.0,-999.0
ASASSN-15lu,150,0.03635,200.303700,40.265739,Foundation,-999.0,-999.0
ASASSN-15mf,150,0.02695,213.594775,2.975520,Foundation,-999.0,-999.0
ASASSN-15mg,150,0.04408,233.094056,41.850380,Foundation,-999.0,-999.0
ASASSN-15np,150,0.03884,226.510788,7.561464,Foundation,-999.0,-999.0
ASASSN-15nq,150,0.03023,259.330106,33.462101,Foundation,-999.0,-999.0
ASASSN-15pm,150,0.04837,24.650403,-4.679800,Foundation,-999.0,-999.0
ASASSN-15pn,150,0.03909,60.859760,-5.492007,Foundation,-999.0,-999.0
ASASSN-15pr,150,0.03264,346.664539,-12.572771,Foundation,-999.0,-999.0
ASASSN-15ss,150,0.03599,93.139106,-14.257483,Foundation,-999.0,-999.0
ASASSN-15tg,150,0.03529,5.170989,25.229048,Foundation,-999.0,-999.0
ASASSN-16aj,150,0.02953,65.450896,-15.755359,Foundation,-999.0,-999.0
ASASSN-16ay,150,0.02938,108.059415,7.239544,Foundation,-999.0,-999.0
ASASSN-16bc,150,0.03298,181.357495,-21.400446,Foundation,-999.0,-999.0
ASASSN-16bq,150,0.02534,212.860434,1.285972,Foundation,-999.0,-999.0
ASASSN-16br,150,0.02956,236.376231,-13.152811,Foundation,-999.0,-999.0
ASASSN-16ct,150,0.04306,228.476312,4.757256,Foundation,-999.0,-999.0
ASASSN-16db,150,0.03730,167.357227,29.573201,Foundation,-999.0,-999.0
ASASSN-16dw,150,0.03437,202.503228,-27.973939,Foundation,-999.0,-999.0
ASASSN-16fo,150,0.03036,203.149166,-5.272513,Foundation,-999.0,-999.0
ASASSN-16fs,150,0.02944,221.776669,11.594920,Foundation,-999.0,-999.0
ASASSN-16hc,150,0.05151,209.768368,33.139016,Foundation,-999.0,-999.0
ASASSN-16hr,150,0.03083,336.382370,38.984358,Foundation,-999.0,-999.0
ASASSN-16oz,150,0.03192,135.055632,-13.633959,Foundation,-999.0,-999.0
ASASSN-17at,150,0.02713,174.640347,25.397128,Foundation,-999.0,-999.0
ASASSN-17eb,150,0.05044,234.641762,13.347780,Foundation,-999.0,-999.0
AT2016aj,150,0.06725,70.602539,-21.724373,Foundation,-999.0,-999.0
AT2016cor,150,0.05066,236.130080,16.303511,Foundation,-999.0,-999.0
AT2016cvv,150,0.04438,290.120165,54.208686,Foundation,-999.0,-999.0
AT2016cvw,150,0.03787,341.553308,10.558845,Foundation,-999.0,-999.0
AT2016cyt,150,0.03059,317.399304,15.125497,Foundation,-999.0,-999.0
AT2016ews,150,0.04631,225.652340,23.352818,Foundation,-999.0,-999.0
AT2016gmg,150,0.04865,320.924302,33.114734,Foundation,-999.0,-999.0
AT2016gsu,150,0.07575,17.102448,21.151623,Foundation,-999.0,-999.0
AT2016hns,150,0.03740,324.921046,24.406491,Foundation,-999.0,-999.0
AT2016htm,150,0.04289,38.010893,-26.665947,Foundation,-999.0,-999.0
AT2016htn,150,0.05222,32.871063,-16.510228,Foundation,-999.0,-999.0
AT2017cfc,150,0.02512,208.162490,-2.002217,Foundation,-999.0,-999.0
AT2017lm,150,0.03031,45.384899,-15.015963,Foundation,-999.0,-999.0
AT2017ns,150,0.02849,42.293224,14.600795,Foundation,-999.0,-999.0
AT2017oz,150,0.05614,211.673083,30.318828,Foundation,-999.0,-999.0
AT2017po,150,0.03255,240.965499,39.990077,Foundation,-999.0,-999.0
AT2017wb,150,0.03117,165.331246,70.664925,Foundation,-999.0,-999.0
AT2017yk,150,0.04691,146.132460,-12.308159,Foundation,-999.0,-999.0
AT2017zd,150,0.02969,203.175618,-21.801073,Foundation,-999.0,-999.0
ATLAS16agv,150,0.04819,250.290312,50.972448,Foundation,-999.0,-999.0
ATLAS16bwu,150,0.07091,18.592750,-13.153090,Foundation,-999.0,-999.0
ATLAS17ajn,150,0.02978,176.110698,-28.457445,Foundation,-999.0,-999.0
ATLAS17ajs,150,0.03451,171.977219,27.345840,Foundation,-999.0,-999.0
ATLAS17axb,150,0.03143,205.846914,-19.943651,Foundation,-999.0,-999.0
CSS160129,150,0.06844,115.123359,10.933302,Foundation,-999.0,-999.0
CSS160428,150,0.03148,200.780011,52.649075,Foundation,-999.0,-999.0
Gaia16acv,150,0.07859,179.957435,54.802153,Foundation,-999.0,-999.0
Gaia16agf,150,0.02509,98.537349,-25.184600,Foundation,-999.0,-999.0
Gaia16aki,150,0.07393,239.794039,14.641615,Foundation,-999.0,-999.0
Gaia16bba,150,0.02990,15.398037,17.101263,Foundation,-999.0,-999.0
MASTERJ0134,150,0.04369,23.562693,-17.812061,Foundation,-999.0,-999.0
PS15ahs,150,0.02534,269.874040,43.390097,Foundation,-999.0,-999.0
PS15aii,150,0.04777,191.189753,9.759673,Foundation,-999.0,-999.0
PS15asb,150,0.04989,215.084663,-9.300908,Foundation,-999.0,-999.0
PS15atx,150,0.07252,195.827390,-23.065799,Foundation,-999.0,-999.0
PS15bdr,150,0.07116,253.705907,36.725196,Foundation,-999.0,-999.0
PS15bif,150,0.07845,305.073991,-23.743529,Foundation,-999.0,-999.0
PS15bjg,150,0.06786,343.793430,-0.410242,Foundation,-999.0,-999.0
PS15brr,150,0.05049,358.356385,-15.654507,Foundation,-999.0,-999.0
PS15bsq,150,0.03371,355.467353,-8.637876,Foundation,-999.0,-999.0
PS15bwh,150,0.07158,352.644135,-18.891496,Foundation,-999.0,-999.0
PS15bzz,150,0.07931,9.424730,1.762823,Foundation,-999.0,-999.0
PS15cms,150,0.06627,149.646205,0.743034,Foundation,-999.0,-999.0
PS15cwx,150,0.03086,78.699191,7.050389,Foundation,-999.0,-999.0
PS15cze,150,0.04035,56.847625,0.877230,Foundation,-999.0,-999.0
PS15mt,150,0.07193,148.684075,23.198113,Foundation,-999.0,-999.0
PS16aer,150,0.05693,163.742475,14.271640,Foundation,-999.0,-999.0
PS16axi,150,0.04089,162.029682,0.163508,Foundation,-999.0,-999.0
PS16ayd,150,0.05469,216.826402,-1.675306,Foundation,-999.0,-999.0
PS16bby,150,0.05468,215.075159,-22.189016,Foundation,-999.0,-999.0
PS16bnz,150,0.06446,155.153750,-2.466750,Foundation,-999.0,-999.0
PS16cqa,150,0.04521,234.779179,9.294622,Foundation,-999.0,-999.0
PS16cvc,150,0.02915,318.097268,14.779329,Foundation,-999.0,-999.0
PS16dnp,150,0.05023,344.914598,2.149809,Foundation,-999.0,-999.0
PS16el,150,0.04940,162.802241,19.362543,Foundation,-999.0,-999.0
PS16em,150,0.07083,163.891643,-3.366272,Foundation,-999.0,-999.0
PS16evk,150,0.05262,338.344432,-1.357034,Foundation,-999.0,-999.0
PS16fa,150,0.04760,154.819282,4.761707,Foundation,-999.0,-999.0
PS16fbb,150,0.05106,1.763091,-20.696811,Foundation,-999.0,-999.0
PS16n,150,0.05309,75.933268,3.412510,Foundation,-999.0,-999.0
PS17akj,150,0.04777,207.454779,-3.080020,Foundation,-999.0,-999.0
PS17bii,150,0.07446,171.409394,7.333603,Foundation,-999.0,-999.0
PS17tn,150,0.04590,145.806809,41.317324,Foundation,-999.0,-999.0
PS17yt,150,0.07073,150.991466,49.041248,Foundation,-999.0,-999.0
PSNJ0153424,150,0.02556,28.426723,29.936284,Foundation,-999.0,-999.0
PSNJ0859349,150,0.02938,134.895428,45.925856,Foundation,-999.0,-999.0
PSNJ1204051,150,0.04545,181.021298,14.068113,Foundation,-999.0,-999.0
PSNJ2352371,150,0.02596,358.154760,14.552489,Foundation,-999.0,-999.0
PTSS17-niq,150,0.06897,215.069408,15.341661,Foundation,-999.0,-999.0
SN2016aqb,150,0.06384,170.493330,-13.983670,Foundation,-999.0,-999.0
SN2016ayg,150,0.04349,112.572436,25.032055,Foundation,-999.0,-999.0
SN2016esh,150,0.04583,241.059778,16.690242,Foundation,-999.0,-999.0
SN2016glp,150,0.08410,354.058317,23.695970,Foundation,-999.0,-999.0
SN2016glz,150,0.04077,1.473230,8.430188,Foundation,-999.0,-999.0
SN2016gmb,150,0.05830,8.686078,-6.158891,Foundation,-999.0,-999.0
SN2016grz,150,0.08704,28.887355,33.822918,Foundation,-999.0,-999.0
SN2016hhv,150,0.06121,353.952050,20.708810,Foundation,-999.0,-999.0
SN2016hpx,150,0.03282,90.819380,-26.898583,Foundation,-999.0,-999.0
SN2016ixf,150,0.06711,159.935681,15.034696,Foundation,-999.0,-999.0
SN2017cii,150,0.03289,248.332828,23.731273,Foundation,-999.0,-999.0
SN2017cjv,150,0.06092,152.690199,-3.777521,Foundation,-999.0,-999.0
SN2017ckx,150,0.02858,117.045391,28.230711,Foundation,-999.0,-999.0
SN2017coa,150,0.04095,132.480332,56.099045,Foundation,-999.0,-999.0
SN2017cpu,150,0.05502,211.968898,9.642034,Foundation,-999.0,-999.0
SN2017hn,150,0.02557,196.914215,6.337602,Foundation,-999.0,-999.0
SN2017mf,150,0.02598,214.129418,39.586353,Foundation,-999.0,-999.0
SN2017ms,150,0.02591,156.676440,36.680529,Foundation,-999.0,-999.0
iPTF17dz,150,0.09293,126.106898,24.997796,Foundation,-999.0,-999.0
